FIA_Code,CommonName,ScientificName,USDASP
7733,Olokele Valley melicope,Melicope knudsenii,MEKN
7734,Kaholuamanu melicope,Melicope macropus,MEMA6
7735,Makaha Valley melicope,Melicope makahae,MEMA7
7736,Molokai melicope,Melicope molokaiensis,MEMO6
7737,alani,Melicope mucronulata,MEMU4
7738,Oahu melicope,Melicope oahuensis,MEOA
7739,Makawao melicope,Melicope obovata,MEOB4
7740,Honokahua melicope,Melicope orbicularis,MEOR4
7741,Hana melicope,Melicope ovalis,MEOV
7742,eggshape melicope,Melicope ovata,MEOV2
7743,pale melicope,Melicope pallida,MEPA6
7744,Lihue melicope,Melicope paniculata,MEPA7
7745,boxfruit alani,Melicope peduncularis,MEPE9
7746,Kohala Summit melicope,Melicope pseudoanisata,MEPS
7747,hairy melicope,Melicope puberula,MEPU4
7748,fourangle melicope,Melicope quadrangularis,MEQU3
7749,kapu melicope,Melicope radiata,MERA2
7750,soopini,Melicope latifolia,MERE8
